,맥주정보,검색이름,맥주이름,인덱스,편의점
0,"stantheman(1,865)
🇨🇦Canada
2.9December 6, 2020
A small bottle from Legacy Liquor in Vancouver.
A black beer with modest white head, roasted malt nose, roasted malt palate. An acceptable run o’ the mill dark lager.
BOTTLE
@ Legacy Liquor Store
Aroma
5
Appearance
5
Flavor
6
Mouthfeel
3
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
1,"TomHendriksen(4,139)
🇳🇱Netherlands
2.6June 2, 2020
Blik geprobeerd op vakantie. Het is een donkerbruin bier met een wat rode gloed en een stevig beige schuim. Het heeft een moutige geur. De smaak is moutig, licht bitter en wat wrang.
CAN
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
2,"fellers(30)
🇦🇺Canberra, Australia
3.3February 7, 2020
Maybe the most accessible dark lager on the market. Price trends a little too high for what I think it's worth but tastes appropriately dark and appearance is equally dark. Personally, dark lager and ale sits in a weird place where I think it would've been…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
3,"mkel07(8,991)
🇦🇺Brisbane, Australia
3.7February 6, 2020
Beer Number From Brewery: 3

Container Type: Bottle…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
3
Overall
16",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
4,"craigeroo(60)
2.2October 6, 2019
Pours: very dark caramel. Not a lot of head at all carbonation: very light
Nose: very mild chocolate and caramel on the, 
Flavour: what little taste there is has notes of caramel and copper. Pretty ordinary,…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
5,"Inbreak(9,623)
🇳🇴Loddefjord, Norway
2.2August 22, 2019
22.08.2019, 0,35l can @ hotel room at Narita Airport:

Nice bubbly-creamy mediumlasting head. Aroma is slightly dry roasted, hay, weeds,…
Show more
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
2
Overall
7",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
6,"jgb9348(8,697)
🇺🇸Arlington (Pentagon City), United States
3.5August 6, 2019
Deep dark brown coloured body that does look almost black, all with a very nice, strong two to three centimetre tall tan head. Aroma of roasted malt, nuts, oatmeal, prunes and a touch of raisins. Light to Medium-bodied; Strong roasted malt and oatmeal flavours…
Show more
CAN
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
7,"rja(731)
🇳🇱BREDA, Netherlands
2.9August 3, 2019
The beer is called Schwarzbier, but its not like the German Schwarzbier. With the chocolate and coffee hints, the beer tends to a Porter. Nice and drinkable.
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
8,"DraftChecker11(22)
🇦🇺Sydney, Australia
4.4June 26, 2019
Honestly one of the best tasting dark beers I have ever had. On its say definitely rivals Guiness for taste
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
9,"crossovert(16,747)
🇺🇸Chicago, United States
2.4December 11, 2018
334ml embossed bottle. Pours a cola color, light tan head. Aroma is metallic raisin. Flavor is bready, light roast, relatively inoffensive, some raisin. Thin and watery palate.
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
2
Overall
8
1",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
