,맥주이름1
15,"5,0 Original"
18,Gaffel
20,DAB
22,Diebels Alt
24,Leikeim
26,Löwenbräu
28,Licher
30,Maisel's Weisse Original
32,Warsteiner
38,Berliner Kindl
40,Bear Beer
44,Bitburger
46,Schineider
48,Schmucker
50,Stephans Bräu
52,Spaten
54,Arcobräu
56,Augustiner Hell
58,einbecker
60,Andechs
62,Erdinger
64,JEVER
68,Zähringer
70,Cannabis Club
72,Kapuziner
74,Köstritzer
76,König Pilsener
78,Krombacher
80,Klosterbrauerei Neuzelle
81,Schwarzer Abt
82,Neuzeller Pilsner
83,Neuzeller Bock
85,Tucher
87,Paderborner
91,Feldschlößchen
93,Potsdamer Rex Pils
95,Pfungstädter
97,Fürstenberg
99,Franziskaner
101,Früh
103,Hofbräu
