,맥주,년,평점
0,2M, 2005,1.388888888888889
1,2M, 2008,1.3666666666666665
2,2M, 2009,2.2
3,2M, 2010,1.7
4,2M, 2011,1.4571428571428573
5,2M, 2013,1.2555555555555555
6,2M, 2014,1.6916666666666667
7,2M, 2015,1.8399999999999999
8,2M, 2016,2.0812500000000003
9,2M, 2017,1.9944444444444447
10,2M, 2018,1.91875
11,2M, 2019,2.016666666666666
12,2M, 2020,2.1
13,"5,0 Original Pils", 2005,2.85
14,"5,0 Original Pils", 2006,2.4
15,"5,0 Original Pils", 2007,2.4166666666666665
16,"5,0 Original Pils", 2008,2.4933333333333327
17,"5,0 Original Pils", 2009,2.311111111111111
18,"5,0 Original Pils", 2010,1.9
19,"5,0 Original Pils", 2011,1.78
20,"5,0 Original Pils", 2012,2.025
21,"5,0 Original Pils", 2013,2.35
22,"5,0 Original Pils", 2014,2.5
23,"5,0 Original Pils", 2015,2.288888888888889
24,"5,0 Original Pils", 2016,2.0714285714285716
25,"5,0 Original Pils", 2017,2.2615384615384615
26,"5,0 Original Pils", 2018,2.1999999999999997
27,"5,0 Original Pils", 2019,2.55
28,"5,0 Original Pils", 2020,2.2199999999999998
29,Aass Bock, 2011,3.1599999999999993
30,Aass Bock, 2012,3.4117647058823524
31,Aass Bock, 2013,3.5199999999999996
32,Aass Bock, 2014,3.4299999999999997
33,Aass Bock, 2015,3.5
34,Aass Bock, 2016,3.22
35,Aass Bock, 2017,3.366666666666667
36,Aass Bock, 2018,3.325
37,Aass Bock, 2019,3.2
38,Aass Bock, 2020,3.6
39,Abbaye des Rocs Brune, 2000,3.8000000000000003
40,Abbaye des Rocs Brune, 2001,4.5
41,Abbaye des Rocs Brune, 2002,4.206122448979592
42,Abbaye des Rocs Brune, 2003,4.2737500000000015
43,Abbaye des Rocs Brune, 2004,4.1571428571428575
44,Abbaye des Rocs Brune, 2005,4.126190476190478
45,Abbaye des Rocs Brune, 2006,4.084955752212389
46,Abbaye des Rocs Brune, 2007,4.025563909774436
47,Abbaye des Rocs Brune, 2008,4.000000000000001
48,Abbaye des Rocs Brune, 2009,3.9627906976744187
49,Abbaye des Rocs Brune, 2010,3.9080645161290315
50,Abbaye des Rocs Brune, 2011,3.973846153846154
51,Abbaye des Rocs Brune, 2012,3.933333333333334
52,Abbaye des Rocs Brune, 2013,3.9837209302325585
53,Abbaye des Rocs Brune, 2014,3.9743243243243245
54,Abbaye des Rocs Brune, 2015,3.96056338028169
55,Abbaye des Rocs Brune, 2016,3.885714285714286
56,Abbaye des Rocs Brune, 2017,3.900000000000001
57,Abbaye des Rocs Brune, 2018,3.9083333333333337
58,Abbaye des Rocs Brune, 2019,3.7839999999999994
59,Abbaye des Rocs Brune, 2020,3.7090909090909094
60,Afsana, 2012,2.1
61,Afsana, 2013,1.7666666666666666
62,Afsana, 2014,1.7888888888888885
63,Afsana, 2016,2.7
64,Afsana, 2017,1.7666666666666666
65,Afsana, 2018,2.566666666666667
66,Afsana, 2020,1.5
67,Ailyak Cryo Mosaic IPA, 2015,4.0
68,Ailyak Cryo Mosaic IPA, 2016,3.566666666666667
69,Ailyak Cryo Mosaic IPA, 2017,3.233333333333334
70,Ailyak Cryo Mosaic IPA, 2018,3.3666666666666667
71,Ailyak Cryo Mosaic IPA, 2019,3.9
72,Albani Giraf Beer, 2001,2.35
73,Albani Giraf Beer, 2002,1.9714285714285713
74,Albani Giraf Beer, 2003,2.3959999999999995
75,Albani Giraf Beer, 2004,2.1999999999999997
76,Albani Giraf Beer, 2005,2.1666666666666665
77,Albani Giraf Beer, 2006,2.4899999999999998
78,Albani Giraf Beer, 2007,2.1999999999999997
79,Albani Giraf Beer, 2008,1.7600000000000002
80,Albani Giraf Beer, 2009,2.216666666666667
81,Albani Giraf Beer, 2010,1.8333333333333333
82,Albani Giraf Beer, 2011,2.2285714285714286
83,Albani Giraf Beer, 2012,2.3285714285714283
84,Albani Giraf Beer, 2013,2.675
85,Albani Giraf Beer, 2014,2.3
86,Albani Giraf Beer, 2015,1.8800000000000001
87,Albani Giraf Beer, 2016,2.766666666666667
88,Albani Giraf Beer, 2018,2.033333333333333
89,Albani Giraf Beer, 2019,2.3
90,Albani Giraf Beer, 2020,2.25
91,Albrau Premium Pils, 2015,2.45
92,Albrau Premium Pils, 2016,2.3
93,Albrau Premium Pils, 2017,2.466666666666667
94,Albrau Premium Pils, 2018,3.1
95,Albrau Premium Pils, 2019,2.0
96,Albrau Premium Pils, 2020,2.6
97,Aldaris Porteris, 2002,3.5642857142857145
98,Aldaris Porteris, 2003,3.4033333333333338
99,Aldaris Porteris, 2004,3.5358490566037752
100,Aldaris Porteris, 2005,3.265624999999999
101,Aldaris Porteris, 2006,3.4627450980392163
102,Aldaris Porteris, 2007,3.4828571428571435
103,Aldaris Porteris, 2008,3.552830188679245
104,Aldaris Porteris, 2009,3.207142857142857
105,Aldaris Porteris, 2010,3.3840909090909084
106,Aldaris Porteris, 2011,3.1870967741935483
107,Aldaris Porteris, 2012,3.4062499999999996
108,Aldaris Porteris, 2013,3.3078947368421048
109,Aldaris Porteris, 2014,3.4268292682926824
110,Aldaris Porteris, 2015,3.3189189189189183
111,Aldaris Porteris, 2016,3.52258064516129
112,Aldaris Porteris, 2017,3.2666666666666666
113,Aldaris Porteris, 2018,3.6
114,Aldaris Porteris, 2019,3.5
115,Aldaris Porteris, 2020,3.766666666666667
116,Alfa [Αλφα], 2001,2.5
117,Alfa [Αλφα], 2002,1.2000000000000002
118,Alfa [Αλφα], 2003,1.5
119,Alfa [Αλφα], 2004,2.0928571428571425
120,Alfa [Αλφα], 2005,1.8642857142857145
121,Alfa [Αλφα], 2006,2.0454545454545454
122,Alfa [Αλφα], 2007,1.8
123,Alfa [Αλφα], 2008,2.0733333333333333
124,Alfa [Αλφα], 2009,2.025
125,Alfa [Αλφα], 2010,2.1678571428571423
126,Alfa [Αλφα], 2011,2.053333333333333
127,Alfa [Αλφα], 2012,2.1212121212121207
128,Alfa [Αλφα], 2013,2.331034482758621
129,Alfa [Αλφα], 2014,2.3000000000000003
130,Alfa [Αλφα], 2015,2.3575757575757574
131,Alfa [Αλφα], 2016,2.2624999999999997
132,Alfa [Αλφα], 2017,2.297499999999999
133,Alfa [Αλφα], 2018,2.3214285714285716
134,Alfa [Αλφα], 2019,2.2828571428571425
135,Alfa [Αλφα], 2020,2.5444444444444443
136,Alhambra Reserva 1925, 2002,3.35
137,Alhambra Reserva 1925, 2003,2.2875
138,Alhambra Reserva 1925, 2004,2.8750000000000004
139,Alhambra Reserva 1925, 2005,2.609523809523809
140,Alhambra Reserva 1925, 2006,2.8066666666666666
141,Alhambra Reserva 1925, 2007,2.542105263157895
142,Alhambra Reserva 1925, 2008,2.664
143,Alhambra Reserva 1925, 2009,2.6166666666666667
144,Alhambra Reserva 1925, 2010,2.7933333333333326
145,Alhambra Reserva 1925, 2011,2.5904761904761906
146,Alhambra Reserva 1925, 2012,2.712244897959183
147,Alhambra Reserva 1925, 2013,2.647222222222223
148,Alhambra Reserva 1925, 2014,2.4422222222222225
149,Alhambra Reserva 1925, 2015,2.7394736842105263
150,Alhambra Reserva 1925, 2016,2.536
151,Alhambra Reserva 1925, 2017,2.617142857142857
152,Alhambra Reserva 1925, 2018,2.782608695652174
153,Alhambra Reserva 1925, 2019,2.525
154,Alhambra Reserva 1925, 2020,2.9124999999999996
155,Alhambra Reserva 1925, 2021,2.9
156,Alivaria Porter, 2009,2.9347826086956523
157,Alivaria Porter, 2010,3.2399999999999998
158,Alivaria Porter, 2011,2.825
159,Alivaria Porter, 2012,3.2399999999999998
160,Alivaria Porter, 2013,2.95
161,Alivaria Porter, 2014,2.9
162,Alivaria Porter, 2015,2.857142857142857
163,Alivaria Porter, 2016,2.8000000000000003
164,Alivaria Porter, 2017,2.9142857142857146
165,Alivaria Porter, 2018,2.8666666666666667
166,Alivaria Porter, 2019,2.55
167,Alivaria Porter, 2020,2.75
168,Almaza Pilsener, 2001,2.233333333333333
169,Almaza Pilsener, 2002,1.8545454545454552
170,Almaza Pilsener, 2003,1.8900000000000001
171,Almaza Pilsener, 2004,2.0777777777777775
172,Almaza Pilsener, 2005,1.7451612903225806
173,Almaza Pilsener, 2006,1.6909090909090911
174,Almaza Pilsener, 2007,2.004
175,Almaza Pilsener, 2008,2.2102564102564095
176,Almaza Pilsener, 2009,2.052941176470588
177,Almaza Pilsener, 2010,1.9103448275862074
178,Almaza Pilsener, 2011,2.1083333333333325
179,Almaza Pilsener, 2012,1.9628571428571429
180,Almaza Pilsener, 2013,1.8076923076923077
181,Almaza Pilsener, 2014,2.119230769230769
182,Almaza Pilsener, 2015,2.1333333333333333
183,Almaza Pilsener, 2016,2.1249999999999996
184,Almaza Pilsener, 2017,2.042105263157895
185,Almaza Pilsener, 2018,2.1999999999999993
186,Almaza Pilsener, 2019,2.083333333333333
187,Almaza Pilsener, 2020,2.32
188,Almaza Pilsener, 2021,2.0
189,Almus T'mno (Dark), 2006,3.5
190,Almus T'mno (Dark), 2008,3.55
191,Almus T'mno (Dark), 2011,3.3
192,Almus T'mno (Dark), 2016,2.2
193,Almus T'mno (Dark), 2017,2.9999999999999996
194,Alpine Beer Company Pure Hoppiness, 2002,4.0
195,Alpine Beer Company Pure Hoppiness, 2003,3.7785714285714276
196,Alpine Beer Company Pure Hoppiness, 2004,3.9617647058823544
197,Alpine Beer Company Pure Hoppiness, 2005,3.8703703703703694
198,Alpine Beer Company Pure Hoppiness, 2006,3.9092592592592603
199,Alpine Beer Company Pure Hoppiness, 2007,3.9616666666666664
200,Alpine Beer Company Pure Hoppiness, 2008,3.9633333333333334
201,Alpine Beer Company Pure Hoppiness, 2009,3.976363636363636
