,맥주,Aroma,Appearance,Flavor,Mouthfeel,Overall
2,Kloud Original Gravity,4.333333333333333,2.8214285714285716,4.464285714285714,2.5,8.904761904761905
0,Kloud Fitz Super Clear,3.5714285714285716,2.1904761904761907,3.238095238095238,1.9047619047619047,6.761904761904762
1,Asahi Super Dry,3.858396723229959,2.5845523698069046,4.210064365125804,2.4078408425980107,8.34406085430076
0,Tsingtao,3.6967675731144176,2.3724987172909184,4.0379681888147765,2.306310928681375,7.839917906618779
5,Heineken,3.6273395721925135,2.552139037433155,4.113302139037433,2.358288770053476,8.137366310160427
0,Kirin Ichiban,4.0087158628704245,2.6188262638001163,4.313190005810576,2.453805926786752,8.531667635095875
4,Sapporo Premium Beer / Draft Beer,4.024390243902439,2.6341463414634148,4.446951219512195,2.4902439024390244,8.79390243902439
0,Stella Artois,4.363570259952736,2.87838574804581,4.877840392655881,2.6953281221596073,9.838211234321033
5,Guinness Draught,5.9905232797692625,4.357093805795907,6.330998489218514,3.3636863068259855,13.316165361900838
0,Kronenbourg 1664 Blanc,5.426966292134831,3.118601747815231,5.238451935081149,2.7602996254681647,10.53183520599251
1,Pilsner Urquell,5.9106093411691925,3.440767089390659,6.428703990102072,3.3377667800804205,13.203835446953294
0,San Miguel,3.5348837209302326,2.488372093023256,3.7093023255813953,2.1511627906976742,7.319767441860465
0,OB Premier Pilsner,4.211538461538462,2.6923076923076925,4.269230769230769,2.5,8.153846153846153
0,Cass Fresh,3.373076923076923,2.2846153846153845,3.4307692307692306,2.0653846153846156,6.5115384615384615
0,Hite D (Dry Finish),3.8,2.4909090909090907,3.8,2.309090909090909,7.709090909090909
0,Hite Prime Max,3.518867924528302,2.358490566037736,3.7358490566037736,2.056603773584906,7.216981132075472
1,Hite Extra Cold,3.972972972972973,2.7567567567567566,4.027027027027027,2.5405405405405403,7.8108108108108105
6,Victoria Bitter,3.6073211314475873,2.475873544093178,3.9101497504159735,2.232945091514143,7.534109816971714
0,Bintang Pilsener,3.75050916496945,2.5478615071283097,3.941955193482688,2.2576374745417516,7.6008146639511205
1,Krombacher Weizen,6.16006600660066,3.552805280528053,6.14026402640264,3.1254125412541254,12.348184818481847
0,Miller Genuine Draft (MGD),2.741247264770241,2.175054704595186,3.136761487964989,1.950218818380744,5.809628008752735
0,Tiger Radler Lemon,4.05,2.45,4.05,2.4,7.15
1,Suntory The Premium Malt's,4.957575757575758,2.9575757575757575,5.351515151515152,2.7818181818181817,10.478787878787879
1,Reeper B. Blondes Weissbier,5.8,3.7,5.0,2.6,10.5
0,Reeper B. Exotisches IPA,4.647058823529412,2.764705882352941,4.705882352941177,2.4705882352941178,9.352941176470589
2,Tiger Beer,3.903598971722365,2.5610539845758353,4.206619537275064,2.359254498714653,8.28309768637532
1,Tsingtao Wheat Beer,5.7407407407407405,3.111111111111111,5.481481481481482,2.5555555555555554,11.0
2,Erdinger Weissbier,5.861834654586636,3.5109852774631936,6.108946772366931,3.1873159682899206,12.506681766704416
6,Carlsberg Pilsner,4.020474488137797,2.6512837179070523,4.426714332141697,2.4735131621709456,8.773480662983426
4,Budweiser,2.5833641404805916,2.0388170055452863,2.911275415896488,1.8251386321626617,5.328280961182995
0,Hoegaarden,6.686701962005606,3.601993148551853,6.821239489255683,3.427904079725942,14.07225163500467
3,Sapporo Yebisu,4.62776025236593,2.804416403785489,4.9495268138801265,2.634069400630915,9.757097791798108
1,Paulaner Hefe-Weissbier,6.847515060240964,3.8113704819277108,6.999623493975903,3.5500753012048194,14.352786144578314
0,Desperados,3.3368912608405603,2.3322214809873247,3.2908605737158108,1.95263509006004,6.052034689793196
2,Peroni Nastro Azzurro,3.954070981210856,2.5031315240083507,4.322894919972164,2.4453723034098815,8.416840640222686
0,Edelweiss Weissbier Snowfresh,6.507692307692308,3.310769230769231,6.452307692307692,3.166153846153846,13.024615384615384
0,Heineken Dark Lager,4.903100775193798,3.12015503875969,5.187984496124031,2.7344961240310077,10.534883720930232
1,Kozel Černý (Dark) 10°,5.720348204570185,3.4624591947769314,5.833514689880305,3.0054406964091402,11.895538628944506
0,Guinness Original 4.2% (Ireland/UK),6.066162570888469,3.76937618147448,6.272211720226843,3.183364839319471,12.77882797731569
0,Jeju Wit Ale,5.466666666666667,3.1333333333333333,5.733333333333333,3.1333333333333333,11.8
0,Stephans Bräu Premium Pilsener,3.9285714285714284,2.607142857142857,4.125,2.2857142857142856,8.053571428571429
0,Stephans Bräu Premium Lager,3.8536585365853657,2.658536585365854,4.048780487804878,2.1463414634146343,7.853658536585366
2,Stephans Bräu Hefe-Weizen Naturtrüb,5.186813186813187,3.065934065934066,5.274725274725275,2.6373626373626373,10.362637362637363
0,Eichbaum Apostel Bräu,4.6506849315068495,2.863013698630137,4.780821917808219,2.5684931506849313,9.773972602739725
0,Egger Märzenbier,4.852691218130311,2.8356940509915014,5.050991501416431,2.634560906515581,9.728045325779037
0,Holsten Premium Bier,4.4754901960784315,2.6642156862745097,4.762254901960785,2.519607843137255,9.286764705882353
2,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,6.868679519825391,3.7959257911967987,7.020734812659149,3.5352855583848672,14.456711531465988
0,Egger Grapefruit Radler,4.531914893617022,2.6595744680851063,4.723404255319149,2.4680851063829787,8.914893617021276
1,Bavaria Pilsener / Premium Beer,3.962719298245614,2.6266447368421053,4.291118421052632,2.393092105263158,8.422149122807017
