,맥주,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,Kloud Original Gravity,4.292929292929293,2.898989898989899,4.444444444444445,2.5656565656565657,8.808080808080808
0,Kloud Fitz Super Clear,3.88,2.44,3.6,2.08,7.64
0,Asahi Super Dry,3.904593639575972,2.6446239273094396,4.3366986370519935,2.4669358909641597,8.575971731448764
0,Tsingtao,3.744122965641953,2.4132007233273054,4.098553345388789,2.3377034358047015,7.987341772151899
1,Heineken,3.7650616985240744,2.653520445197193,4.281635615775466,2.429712073554319,8.460682313089766
0,Kirin Ichiban,4.052496139989707,2.6664951106536283,4.377251672671127,2.4817292846114256,8.671127123005661
0,Sapporo Premium Beer / Draft Beer,4.0718884120171674,2.6909871244635193,4.505901287553648,2.52843347639485,8.952789699570815
0,Stella Artois,4.464376232047311,2.9785975781470007,5.035764573359617,2.757814700084483,10.169811320754716
0,Guinness Draught,6.240398293029872,4.424786628733997,6.5990398293029875,3.4955547652916072,13.842460881934565
0,Kronenbourg 1664 Blanc,5.575342465753424,3.180189673340358,5.398314014752371,2.8314014752370915,10.90200210748156
0,Pilsner Urquell,6.0058878944889305,3.5287329251059822,6.55275553462082,3.3951954780970324,13.43711728685822
0,San Miguel,3.6335078534031413,2.5445026178010473,3.8219895287958114,2.2198952879581153,7.607329842931938
0,OB Premier Pilsner,4.350877192982456,2.7719298245614037,4.43859649122807,2.56140350877193,8.24561403508772
0,Cass Fresh,3.326388888888889,2.2916666666666665,3.361111111111111,2.03125,6.440972222222222
0,Stout,7.0,4.0,7.0,4.0,13.0
0,Hite D (Dry Finish),3.847457627118644,2.542372881355932,3.9661016949152543,2.3559322033898304,8.11864406779661
0,Hite Prime Max,3.5258620689655173,2.4051724137931036,3.7844827586206895,2.1379310344827585,7.206896551724138
0,Hite Extra Cold,3.951219512195122,2.707317073170732,4.146341463414634,2.5365853658536586,8.073170731707316
0,Victoria Bitter,3.6468354430379746,2.5481012658227846,3.979746835443038,2.2531645569620253,7.684810126582279
0,Bintang Pilsener,3.775894538606403,2.568738229755179,3.9887005649717513,2.2843691148775895,7.711864406779661
0,Krombacher Weizen,6.150455927051672,3.5714285714285716,6.141337386018237,3.1306990881458967,12.351063829787234
0,Miller Genuine Draft (MGD),2.8689011455239712,2.2800169707254985,3.326686465846415,2.0263046245226985,6.238014425116674
0,Hoegaarden Cherry,6.0,3.6,5.4,3.8,11.0
0,Tiger Radler Lemon,4.090909090909091,2.4545454545454546,4.136363636363637,2.409090909090909,7.681818181818182
0,Suntory The Premium Malt's,4.956043956043956,2.967032967032967,5.4010989010989015,2.8131868131868134,10.576923076923077
1,Reeper B. Blondes Weissbier,5.8,3.7,5.0,2.6,10.5
0,Reeper B. Exotisches IPA,4.625,2.875,4.833333333333333,2.5,9.625
2,Tiger Beer,3.912739965095986,2.5945317044793486,4.254217568353694,2.3839441535776613,8.379290285049448
0,Tsingtao Wheat Beer,5.8,3.1,5.533333333333333,2.6,11.066666666666666
1,Erdinger Weissbier,5.912167300380228,3.5627376425855513,6.198859315589353,3.240684410646388,12.668060836501901
0,Carlsberg Pilsner,4.0520231213872835,2.692485549132948,4.486705202312138,2.4971098265895955,8.927745664739884
0,Budweiser,2.679375287092329,2.122186495176849,3.046853468075333,1.8876894809370695,5.631603123564538
0,Hoegaarden,6.76081200353045,3.671447484554281,6.9655781112091795,3.5132391879964695,14.315975286849072
0,Sapporo Yebisu,4.614942528735632,2.8419540229885056,4.9798850574712645,2.646551724137931,9.841954022988507
1,Paulaner Hefe-Weissbier,6.913959613696225,3.87123207491952,7.083991805677495,3.604331284752707,14.545800409716126
0,Desperados,3.52073732718894,2.422811059907834,3.512672811059908,2.042626728110599,6.40668202764977
0,Peroni Nastro Azzurro,3.966666666666667,2.5327272727272727,4.375757575757576,2.467878787878788,8.535151515151515
0,Edelweiss Weissbier Snowfresh,6.518624641833811,3.332378223495702,6.481375358166189,3.2034383954154726,13.071633237822349
0,Heineken Dark Lager,4.930191972076789,3.1343804537521813,5.237347294938918,2.7539267015706805,10.670157068062828
0,Kozel Černý (Dark) 10°,5.7195004803073966,3.474543707973103,5.8645533141210375,3.027857829010567,11.959654178674352
0,Guinness Original 4.2% (Ireland/UK),6.077571669477234,3.7774030354131534,6.293423271500843,3.1888701517706575,12.806070826306915
0,FiLite,4.0,2.5555555555555554,4.555555555555555,2.7777777777777777,10.0
0,ARK Seoulite Ale,5.4,3.5,5.9,3.2,12.1
0,Jeju Wit Ale,5.588235294117647,3.235294117647059,5.9411764705882355,3.176470588235294,12.117647058823529
0,Stephans Bräu Premium Pilsener,3.9,2.6166666666666667,4.2,2.316666666666667,8.066666666666666
0,Stephans Bräu Premium Lager,3.857142857142857,2.619047619047619,4.023809523809524,2.142857142857143,7.809523809523809
0,Stephans Bräu Hefe-Weizen Naturtrüb,5.217821782178218,3.0594059405940595,5.267326732673268,2.633663366336634,10.346534653465346
0,Bali Hai Premium Lager,3.0,3.0,5.0,3.0,10.0
0,Eichbaum Apostel Bräu,4.625,2.8421052631578947,4.75,2.5526315789473686,9.717105263157896
0,Egger Zwickl,5.222222222222222,3.111111111111111,5.444444444444445,3.0,10.444444444444445
