,맥주정보,검색이름,맥주이름
0,"MarkoNm(4,664)
🇸🇮Novo mesto, Slovenia
2.6August 30, 2016
Pours a clear yellow golden color, topped with a big white head, pretty non-lasting. Mild grassy nose with a bit of cardboard presence. Mildly sweet with hints of bitterness,…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
2
Overall
10",Kenbach,Kenbach Premium Pilsner
1,"Sibarh(189)
🇵🇱Bialystok, Poland
1.6February 23, 2015
Kolor - złocisty, klarowny. 
Piana - drobna, wysoka, szybko pękająca.…
Show more
Aroma
1
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Kenbach,Kenbach Premium Pilsner
2,"pivopiec(2)
5.0September 8, 2013
Great, rich beer, full of taste of propolis and honey... Alcohol is 5% ... You will never have a headache after get drunk of it. Great beer
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
5
Overall
20",Kenbach,Kenbach Premium Pilsner
3,"bosta(271)
🇸🇮Slovenia
1.2June 10, 2013
500ml bottle bought in Strumica. Pours yellow with white head.  Malty aroma.  A bit sweet and malty taste and a bit dry aftertaste. Generally very light, thin-bodied aftertaste.…
Show more
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
2
Overall
5",Kenbach,Kenbach Premium Pilsner
4,"darioklc(933)
🇭🇷Karlovac, Croatia
2.0November 8, 2012
Light body with small head. Drinked it in Bitola. It seems to me like preety strong beer but it only has 5 ABV. Solid beer
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
6",Kenbach,Kenbach Premium Pilsner
5,"Oakes(25,348)
🇨🇦Kelowna, Canada
1.8October 30, 2012
Has a light body and grainy taste.  Only a touch of bitterness and hop spice, but halfway dry and without significant flaws.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
8",Kenbach,Kenbach Premium Pilsner
6,"kiwianer(4,070)
🇳🇿Otorohanga, New Zealand
2.0October 6, 2012
Green bottle, head ok. Smells soft a bit malty. The taste is malty, bit hoppy, soft, in a not good way. 9/6/7/6/8/6
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Kenbach,Kenbach Premium Pilsner
7,"Beershine(5,262)
🇨🇦VANCOUVER, Canada
1.6September 17, 2012
Bottle at Ohrid, Macedonia. Aroma is on the sweet side, but the flavors are more balanced with damply floral, wet grassy hop and white pepper.a little sticky yeasty. Not great but not…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Kenbach,Kenbach Premium Pilsner
8,"ogivlado(11,548)
🇭🇷Zagreb, Croatia
2.1January 15, 2008
big brown plastic bottle(1500ml). -Pale golden coloured, small white head, stale corn nose. Slight malty, grassy and corny with touch of caramel. Sweet finish.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Kenbach,Kenbach Premium Pilsner
9,"rickgordon(3,878)
🇸🇪Göteborg, Sweden
1.9January 3, 2005
Bottled. 
Pale golden, cottony white head. Grassy nose with notes of…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Kenbach,Kenbach Premium Pilsner
10,"omhper(30,812)
🇸🇪Tyresö, Sweden
2.3November 21, 2002
Bottled. Comes with one of those silly labels featuring a thermometer which turns blue when the beer is cold enough. Pours ale golden with average head. The aroma is grassy…
Show more
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Kenbach,Kenbach Premium Pilsner
